Gene_ID,MCF7_ROSA26.KO_DMSO_rep1,MCF7_ROSA26.KO_DMSO_rep2,MCF7_ROSA26.KO_C70_rep1,MCF7_ROSA26.KO_C70_rep2,MCF7_ZBTB7A.KO_DMSO_rep1,MCF7_ZBTB7A.KO_DMSO_rep2,MCF7_ZBTB7A.KO_C70_rep1,MCF7_ZBTB7A.KO_C70_rep2
C2orf76,15.1177,14.2516,15.9403,13.5892,20.9468,17.9052,18.5025,17.2168
PLA2G4A,0.0916139,0.148998,0.205635,0.167882,0.08933,0.0682153,0.117502,0.281169
ARHGEF9,3.8977,3.54775,3.82637,3.53887,2.84737,3.52377,3.77423,3.62949
HSPBP1,32.7733,43.5158,31.3185,40.6908,32.3478,34.8023,29.8983,32.9607
RHOD,62.4718,62.8354,34.624,35.9634,66.8178,67.7954,42.5096,35.0017
TEX28P1,0,0,0.0198175,0,0,0,0,0
RAB25,88.675,75.3564,83.7839,79.7837,81.6805,75.6584,80.0678,64.4559
CCDC144NL,0.0104575,0,0.0105675,0,0,0,0,0
ALG9,4.8681,4.8686,4.64466,4.98159,3.65688,4.34309,4.65754,3.83626
ZYG11A,2.35731,2.47355,2.09688,2.39127,2.33126,2.09947,2.28133,2.32968
CNOT4,14.2369,11.4202,12.6839,11.2229,12.1742,11.026,10.9277,8.92811
PIEZO1,55.9261,66.3753,55.673,58.6892,70.5387,72.0482,66.1962,60.3836
VSIG8,0.0173971,0,0,0.0206893,0.0381494,0.0166999,0.0223874,0.0523086
ZNF300,0.0271622,0.0331827,0,0,0.0196205,0.0194343,0.0173526,0.0456671
PDRG1,26.9358,24.4512,28.6006,26.7376,21.8729,18.5496,22.8244,18.851
ZNF276,8.30197,9.35281,9.65052,9.07483,9.47078,8.87322,7.54462,8.33199
OR4E2,0,0,0,0,0,0,0.0549206,0
ZC3HAV1,22.8525,14.2496,17.3136,12.7632,14.7477,11.8132,12.9127,10.5805
MPP3,2.38584,2.53836,2.99516,3.16918,2.24856,2.31674,2.60734,2.75321
SLC22A3,0,0,0,0,0.00941865,0,0.0110032,0.0221565
CNFN,5.93079,5.48974,7.30089,8.32663,4.81473,5.23236,4.05316,4.02912
AC011239.1,0,0,0,0,0,0,0,0
PHF8,5.96061,5.91698,5.41751,4.69955,4.38405,5.43865,4.61666,4.69
LBR,6.57314,7.72196,9.04123,11.2228,8.20033,8.76561,12.2123,11.6766
AL590235.1,0,0,0,0,0,0,0,0
F13B,0,0,0,0,0,0,0,0
THSD7A,0.00751941,0.00523992,0.00761075,0.0239835,0.00275382,0,0.019241,0.00323808
TOPORS,5.20938,4.20754,4.80298,4.71039,5.31252,5.02387,4.50079,4.6023
TMEM109,40.3344,36.6222,39.7005,38.5508,32.5674,32.0175,31.721,31.8623
PDIK1L,5.05548,3.23862,3.56577,3.74287,2.39231,2.75028,3.11607,2.31468
CRYBA2,0.289184,0.461389,0,0.282407,0,0,0,0.118231
DDIT4L,0.0683164,0.0357357,0.0345112,0.0271441,0.0374831,0.0496506,0.102434,0.0146978
ZNF195,6.6754,5.63026,7.84926,5.9086,6.20182,5.64018,4.88389,6.37839
PRAMEF5,0,0,0,0,0,0,0,0
EPC1,7.1372,5.58509,6.59722,4.94809,5.63805,5.53468,4.2713,4.06459
HELT,0,0,0,0,0,0,0,0
TP53AIP1,0,0,0,0.0132928,0.0122366,0,0,0
POLR2G,127.402,112.464,110.652,100.92,108.329,104.373,92.9959,90.4659
TRIM64B,0,0,0,0,0,0,0,0
ABCA13,0.00624004,0,0.0126222,0,0.0204675,0.00146803,0,0.00595641
RAB19,2.29815,1.30904,1.85161,0.539744,1.8178,1.6061,1.02316,0.602213
SNRPD2,339.82,333.966,342.452,348.676,328.744,324.849,316.876,337.7
KIAA1549,3.77159,3.0259,2.66302,1.94399,2.53906,2.48905,1.47695,1.7379
SCD5,0.823787,1.0947,1.43043,1.80887,0.994932,0.868469,2.37351,1.62989
AKR1E2,5.63731,4.26463,4.77054,4.27828,4.34679,3.18734,3.39703,3.40336
PCDHGC5,3.48E-70,0.0344061,1.49E-128,4.77E-59,2.31E-62,0.0103471,2.59E-56,0.0136284
GUCA1B,0.429578,0.658228,0.432129,0.703131,0.903825,0.446217,0.598977,0.340578
NSMCE2,43.5151,51.2385,41.0664,47.4201,53.4011,52.3046,50.7488,44.3756
DBF4,27.0103,16.2543,21.9098,16.6337,20.0385,16.8206,15.9511,15.3596
CORO6,0,0.0537722,0.104577,0.0852446,0.103606,0.0760791,0.133623,0
FMR1,12.2463,13.0374,15.0787,13.0363,15.4224,16.0204,16.9858,16.407
SEZ6L2,23.8884,19.862,22.3877,21.2609,28.4424,28.1531,30.3276,24.8513
BAG4,4.72259,3.89859,4.8184,3.6546,4.10437,3.62319,3.67325,3.15213
DNMBP,0.52171,0.245328,0.362172,0.282111,1.2308,1.25993,1.51704,1.26091
AUH,10.8877,9.61052,9.89849,7.27077,7.91793,8.94145,6.22639,5.50063
CTDSPL2,13.19,11.991,11.9924,13.8683,13.5677,12.4176,14.0351,12.3833
CTAGE15,0.173033,0.237434,0.216349,0.226302,0.170781,0.183019,0.299233,0.167827
HMHA1,2.11774,2.49958,2.64885,3.13572,3.3374,3.44405,3.43314,3.50272
SLC47A2,0,0,0,0.0159804,0,0,0.0517487,0.0173208
BAAT,0.00849831,0,0.00859113,0,0.0295546,0,0,0
UBE2T,89.3475,112.27,101.659,109.719,101.094,102.93,107.39,99.1409
PNLIPRP2,0,0,0,0,0,0,0,0
EPT1,18.451,15.8066,16.1563,15.2802,16.6683,18.5405,16.6686,15.1798
SLC44A2,34.119,37.8642,36.4338,38.1306,41.3826,40.998,42.3221,39.0998
PRR20D,0,0,0,0,0,0,0,0
GPIHBP1,0,0.0138857,0,0,0.0145582,0.0127224,0.0170494,0.0171271
C2orf61,0,0.0419876,0.0202219,0,0,0,0,0
HS3ST5,0,0,0.0146653,0.0127883,0,0,0,0.0138462
SULT1C4,0,0,0.0170756,0,0,0,0.046906,0.0684332
LMLN,2.2079,2.71588,1.68467,1.28338,1.90617,1.2897,1.12751,1.24939
FGF12,0.410069,1.04566,1.66317,1.08311,2.29762,1.28724,2.03818,1.82976
NEURL,1.78221,1.71124,1.42375,1.72114,4.09728,3.25277,1.20935,1.5221
AC104841.2,2.32563,3.31491,2.51856,3.11929,2.76081,3.45637,4.02451,3.41587
PROKR2,0,0,0,0,0,0,0,0
HGFAC,0,0,0.0154991,0.0182727,0.156218,0.0883811,0.0183031,0.0367558
GABPB1,44.8503,33.1526,41.3368,35.165,35.1181,31.6294,34.6831,33.8919
PGM1,4.05534,4.61599,3.93183,4.63816,5.5173,5.44459,6.65144,5.42019
TNFRSF12A,180.138,108.413,113.135,93.4997,122.533,109.008,98.0015,83.7312
CENPN,62.4413,63.6533,67.2763,71.7559,69.0328,66.3279,69.5958,61.7993
ADIPOR1,69.5283,87.5571,67.1782,82.4379,70.4877,73.9891,79.0377,68.0693
ZNF700,2.61278,2.53088,2.99417,3.19639,1.99323,2.44783,2.31091,2.65447
TRIM40,0,0,0,0,0,0,0,0
CDCA7L,11.2078,11.3737,13.7677,13.1143,9.49567,9.99074,11.4439,10.7788
HIST1H2BC,18.3108,8.20844,19.9618,7.8524,8.36061,8.37206,5.10341,5.58022
HCRT,0,0,0,0,0,0,0,0
CRYGC,0,0,0,0,0,0,0,0
EIF2B2,43.5655,38.7409,38.8767,39.1536,41.4359,38.9953,35.8898,36.8386
MAP3K2,7.30259,6.99457,6.39175,6.90756,7.43737,5.90651,6.26539,6.13492
YIPF1,8.32622,5.74725,5.91965,5.83017,5.61574,4.46168,4.91384,4.28446
CIT,5.7189,5.00488,5.30094,5.24112,4.95556,4.84578,4.98618,5.1344
CLTCL1,0.539654,0.54988,0.475232,0.68762,1.13414,0.951747,1.2476,0.813112
SPZ1,0,0,0,0,0,0,0,0
FAM163A,0.0200799,0,0.0405859,0.0239475,0.0220386,0,0.0257659,0.0129617
SLC35G6,0.029915,0,0.060223,0,0,0,0,0
AREG,46.795,33.9384,77.2432,58.9739,40.6584,38.4278,39.3207,35.9248
CNIH4,21.8179,22.0243,23.8539,18.5702,22.1315,20.3775,23.433,20.6756
TMEM44,2.09805,2.37517,2.20223,2.72086,2.94322,3.63081,2.36728,3.14945
ABCB9,4.5026,4.96296,4.3005,4.77723,6.12393,6.13658,6.06915,7.34265
KRTAP6-3,0,0,0,0,0,0,0,0
ADAM8,0.351226,0.809582,0.701208,0.723405,0.761471,0.748187,1.08056,0.884302
FAM203A,5.523,3.76603,4.27832,3.90457,4.18217,3.34236,2.67354,2.99135
STARD9,0.0339962,0.0248729,0.0326941,0.0223712,0.0261487,0.0357257,0.0369597,0.0307458
PUM2,29.3377,26.127,29.051,28.9322,30.0303,26.6506,29.3677,25.7362
TLR4,0,0,0,0,0,0,0,0
RP11-295D22.1,0,0,0,0,0,0,0,0
MYOM1,0.00536798,0.0343667,0.0488735,0.0577246,0.0353744,0.0256713,0.0687599,0.0138667
XAGE5,0,0,0,0,0,0,0,0
RUNDC3B,0.103063,0.292491,0.0984337,0.0762002,0.174311,0.0587753,0.155602,0.0391279
CRYGB,0,0,0,0,0,0,0,0
CHCHD4,24.2155,18.3989,19.1189,17.9731,20.4969,16.7406,17.4086,16.8205
USP17L25,0,0,0,0,0,0,0,0
PSMB7,132.563,191.448,161.608,194.118,196.73,214.778,213.04,203.804
FBP2,0.0265428,0.0556193,0.106941,0.0943654,0.0871972,0.0511011,0.102836,0.102648
SLC10A5,0.0347075,0.0242073,0.0935062,0.0551574,0,0.0110858,0.014854,0.0896031
CDK7,32.7591,31.0561,31.3649,30.0328,35.367,34.2243,32.6997,29.4944
CREB3,28.7481,25.6727,26.1759,23.9824,25.3982,23.955,23.5081,23.3702
SREK1IP1,2.8446,2.34928,2.70617,2.2654,2.61188,2.46602,2.40066,2.52713
EDEM2,10.6178,9.41417,9.16252,8.29481,9.84912,9.18287,9.07287,9.10235
CASQ2,0.0220923,0.0115559,0.0334832,0,0.0272827,0.0105829,0,0.0963443
GMFG,0,0.301704,0.21229,0.0437469,0,0,0,0
