Gene_ID,MDAMB436_ROSA26.KO_DMSO_rep1,MDAMB436_ROSA26.KO_DMSO_rep2,MDAMB436_ROSA26.KO_C70_rep1,MDAMB436_ROSA26.KO_C70_rep2,MDAMB436_ZBTB7A.KO_DMSO_rep1,MDAMB436_ZBTB7A.KO_DMSO_rep2,MDAMB436_ZBTB7A.KO_C70_rep1,MDAMB436_ZBTB7A.KO_C70_rep2
CETN1,0,0,0,0,0,0,0,0
STK4,7.384,7.66256,6.79023,6.67926,7.34021,7.31184,6.70883,6.05302
UGT1A5,1.40E-32,2.88E-08,3.75E-06,6.01E-31,5.86E-10,2.04E-07,2.27E-07,2.47E-07
CLPTM1L,53.14,51.6712,48.7557,50.6368,60.1009,59.6565,56.4471,57.7328
DEFB108B,0,0,0,0,0,0,0,0
RASSF1,14.679,14.6908,15.7862,15.0765,15.7295,13.2113,16.0326,14.8135
ENOX2,5.76533,5.89422,6.42017,5.30118,4.92474,4.67673,3.96309,6.72941
SENP3,53.5517,54.0123,60.1106,59.6567,58.036,57.0752,53.5326,52.8412
RP11-9B6.1,0,0,0,0,0,0,0,0
GJA5,0.0223369,0,0,0,0.0307397,0,0,0.0828815
LYZL2,0,0,0,0,0,0,0,0
LRRC8B,2.98587,2.96963,3.91738,2.55995,2.87161,3.46577,3.93817,3.18625
ANXA1,392.89,405.124,299.486,325.833,398.864,384.536,299.357,314.586
DMC1,1.94605,1.83061,3.86785,3.47434,1.78145,1.95117,3.53059,4.84264
MAD2L2,35.9599,36.6999,40.2927,38.891,36.9241,37.0387,36.5164,42.0694
RP11-451M19.3,0,0.121656,0.191799,0,0.119269,0,0.195895,0
RNF103-CHMP3,3.80E-31,1.47E-22,1.37E-18,4.05E-10,1.40E-14,2.70E-30,4.07E-92,2.79E-25
SIAH1,4.45132,5.706,5.64501,5.70107,4.44549,4.73552,5.55725,5.7068
C19orf66,6.14394,5.35148,5.14282,4.89012,6.19487,5.59991,6.01319,6.2369
FAM210A,7.89663,10.2691,11.576,10.0673,10.0591,10.2588,10.7255,10.4457
C10orf40,0,0,0,0,0,0,0,0
ING1,4.19192,4.03259,5.36672,6.01412,3.86899,4.72544,4.94731,6.18654
NOG,0.026107,0,0.119918,0.0301148,0.0560097,0,0.0303297,0.0294077
BCKDHB,11.2512,11.6314,9.99274,9.55942,13.2399,13.1924,10.3069,11.4067
1-Dec,0,0,0,0,0,0,0,0
HOXA1,2.21677,2.1347,3.00227,2.20538,1.81346,1.96013,2.48319,2.48021
C2CD4D,0,0,0,0,0,0,0,0.0322104
CHRNA3,0.0282685,0.061734,0.114149,0.131142,0.154955,0.0967246,0.213562,0.350785
AC003002.6,0.384578,0.318718,0.516191,0.688071,6.35E-06,1.10E-05,1.35529,1.33E-05
OR6C65,0,0,0,0,0,0,0,0
EPHA6,0.168442,0.0599369,0.184538,0.121003,0.111575,0.0805705,0.122484,0.185487
AC108868.1,0,0,0,0,0,0,0,0
DOCK2,2.41839,2.77342,1.68903,1.80803,2.5037,2.11744,1.60088,2.5053
RRP36,28.8848,26.7867,27.5818,25.4066,28.5835,30.5958,26.6721,24.36
NKAIN4,0,0,0,0,0,0,0,0.041878
WFDC5,0,0,0,0,0,0,0,0
ST6GALNAC5,0.0355671,0.0259051,0.0547343,0.0550572,0.10233,0.162311,0.0826841,0.0401342
SLC45A3,3.8683,3.6652,5.39497,4.4721,3.83655,3.1978,4.88777,3.99921
FGFBP3,0.110137,0.0200232,0.126824,0.106243,0.0987626,0.104623,0.277309,0.103484
AC140481.2,0,0,0,0,0,0,0,0
OR2A2,0,0,0,0,0,0,0,0
KIF20A,34.0497,33.5796,32.4312,33.4427,30.7712,28.6922,31.6586,29.7457
