Gene_ID,T47D_ROSA26.KO_DMSO_rep1,T47D_ROSA26.KO_DMSO_rep2,T47D_ROSA26.KO_C70_rep1,T47D_ROSA26.KO_C70_rep2,T47D_ZBTB7A.KO_DMSO_rep1,T47D_ZBTB7A.KO_DMSO_rep2,T47D_ZBTB7A.KO_C70_rep1,T47D_ZBTB7A.KO_C70_rep2
ZNF614,1.87369,1.66654,0.73349,1.88528,1.96457,1.35582,1.69149,1.56995
SHB,8.11053,7.39048,5.07734,7.11814,6.76417,7.22755,8.01738,6.86428
AKAP14,0.267965,0,0.377943,0.383807,0,0,0.181529,0.814982
PKIG,40.6692,44.8304,26.9734,23.1414,41.1125,59.9515,27.7854,29.0587
APTX,15.0617,20.7806,17.3308,18.234,16.8009,19.7095,17.1019,18.057
RFTN1,0.139308,0.164022,0,0.0500087,0.183829,0,0.206107,0.151329
CNEP1R1,2.96256,3.64428,2.86529,3.43905,2.91512,2.87885,2.14487,3.47742
ST3GAL6,0.23415,0.601376,0.704509,0.377356,0.769113,1.0974,1.45413,0.569895
C7orf55,4.36674,3.3107,5.67603,2.75708,5.78974,4.23072,4.1504,3.37745
ADA,4.45304,3.91076,3.31935,2.52745,3.24828,2.14068,3.06827,1.88833
APLP1,10.0823,8.88612,7.21018,8.45252,7.57607,8.89897,11.5879,8.69836
RD3,0,0,0,0,0,0,0,0
METTL25,0.773893,2.06106,2.1898,1.67121,1.60246,0.924189,1.53819,1.37349
MAGED4B,0.068114,0.0557923,0.0218725,0.0549971,0.164952,0.0799491,0.0407066,0.0605759
PATE2,0,0,0,0.0896085,0,0.117489,0.0362163,0.0330173
GOSR2,30.8316,36.6114,22.2263,35.9166,30.6129,35.5703,24.6632,36.3701
ZNF574,4.88134,4.71709,1.71241,4.39934,4.91018,5.12356,4.94174,4.60797
MAPK8IP1,5.47788,6.61294,6.31133,6.71936,6.74523,6.67648,9.29306,8.79738
UROC1,0,0,0,0,0,0,0,0
CASP9,2.67686,3.61844,2.11477,2.2964,3.37898,2.72409,3.45175,3.66264
P4HA2,14.5322,14.2974,6.25548,12.9157,12.3545,16.259,10.8039,12.4275
CALCOCO2,95.7261,74.9963,20.3503,62.8015,65.8426,65.3273,61.1731,54.9017
IQCG,16.4275,13.0951,9.08773,11.1834,19.2519,14.1055,14.4413,11.572
DKFZP547L112,0,0.062665,0,0,0.127935,0,0.143485,0.197613
NRF1,5.98831,5.78635,2.63856,6.79854,4.51647,5.55987,5.40625,5.97294
FAM131B,0,0,0.0270976,0.0337847,0.0107593,0,0.0272068,0.0619126
RASGRP1,0.268376,0.537155,0.0243219,0.201407,0.306757,0.299519,0.12129,0.0674226
CST1,0,0,0.104452,0,0,0,0,0
USP51,0.217698,0.224577,0.592669,0.269984,0.250858,0.235038,0.34931,0.46627
EBP,28.1111,50.3373,57.2187,45.7115,29.2119,53.0975,33.0308,43.7587
LCP2,0,0.0095685,0.0218021,0.0180781,0.00979773,0.0398294,0.0379033,0.0099324
HECTD4,4.73288,3.46767,0.69801,4.19358,4.1773,3.66024,4.30665,3.87852
JTB,62.0249,78.8467,142.795,74.8894,62.2472,79.8974,64.4394,71.6622
OR7A10,0,0,0,0,0,0,0,0
HSF4,6.93156,5.93128,14.7534,6.7274,9.15072,7.02423,8.07021,7.33233
NRIP3,1.55344,1.60194,3.2442,3.84807,1.18961,0.674858,1.89716,2.6198
AL603965.1,0.023691,0,0.0286148,0,0.0130951,0,0,0.0133048
RCE1,12.7392,14.5056,7.58169,14.0497,12.8034,15.1075,12.7026,13.7912
RUNDC3B,0.090764,0.144018,0.0551812,0.0417347,0.0113115,0,0,0.0266927
PRDX5,277.234,264.581,694.259,223.597,322.852,296.816,297.37,239.753
EIF4H,224.244,249.834,55.4623,240.547,229.599,254.276,222.015,247.309
SDS,0,0,0,0,0,0,0.075383,0
SLC1A5,111.863,82.1017,62.14,91.8954,75.806,76.6459,79.6082,82.3785
CHM,3.63364,2.68042,0.736754,2.60974,2.47044,2.56007,1.90741,2.37447
NRL,0.334967,0.309623,0.106008,0.245157,0.121008,0.900232,0.470744,0.147494
TLE1,14.6349,12.5326,14.0443,10.5986,13.1959,11.0704,14.4463,13.4134
C17orf89,14.8836,46.9627,66.6441,31.5509,14.3526,29.2663,40.3852,27.9356
SCGB2A1,0,0,1.08191,0.210662,0,0.240877,0,0.241372
CTC-260F20.3,1.30904,1.49231,0.568493,1.3484,2.07313,1.47633,1.06961,1.60981
RP11-724O16.1,2.32287e-06,3.32293e-06,3.01437e-09,4.05044e-06,0.114248,2.46506e-06,3.04215e-07,0.371364
MYEOV,2.3603,3.28599,2.36147,3.92093,1.64412,2.6231,2.5169,2.64745
LRP5,30.9792,24.7486,15.2134,24.0507,28.0717,23.5168,25.6384,20.2942
PHKB,22.6196,22.5601,8.02234,21.6586,21.1404,19.3111,24.6617,23.5933
MLLT3,5.8026,3.88428,5.20833,4.49235,5.97637,3.97357,5.97528,3.75193
NLGN4X,3.35706,3.37123,1.14738,3.61015,2.30688,2.07253,3.62116,2.80203
TMEM132C,0,0,0,0,0,0,0,0
OR52I1,0,0,0,0,0,0,0,0
RP11-47I22.3,0.458437,0.301945,0.142821,0.493086,0.132524,0.157153,0.574478,0.187461
CYP11A1,0,0,0,0,0,0,0,0
FAM72D,12.7251,11.8641,7.63397,10.2231,9.30215,9.19815,8.26631,8.74845
OR5L1,0,0,0,0,0,0,0,0
MPHOSPH6,63.0972,73.7714,75.8922,62.9325,68.1188,64.0727,51.6778,68.6642
COX6A2,0,0,0,0,0,0,0,0.368234
ARHGEF4,0.349754,0.629283,0.140977,0.409124,0.259586,0.499311,0.468632,0.61673
UGGT2,13.8784,11.3131,8.62058,10.3689,11.3696,9.15115,11.547,10.7366
CYB5D2,14.5218,11.7247,7.26049,10.678,10.5139,14.1117,11.5316,10.0616
COL5A2,0.558706,0.834485,0.416195,1.39359,0.713194,0.933737,1.60289,1.03517
AC135048.1,0.812971,0.995721,0,0.514635,1.24292,1.21011,0.633131,1.04541
ENPP5,4.65845,3.30415,2.57584,3.04257,3.50407,3.20239,4.09433,2.38201
ADAT3,3.01693,2.71815,3.23828,3.61129,2.35885,2.85765,2.12063,2.34484
GPR150,0,0,0,0,0,0,0,0
MYL5,1.97923,2.40375,3.005,2.38636,2.14552,2.77704,1.59412,2.09272
