Gene_ID,SUM149_DMSO_day2_rep1,SUM149_DMSO_day2_rep2,SUM149_DMSO_day2_rep3,SUM149_C70_day2_rep2,SUM149_C70_day2_rep3,SUM149_DMSO_day7_rep1,SUM149_DMSO_day7_rep2,SUM149_DMSO_day7_rep3,SUM149_C70_day7_rep1,SUM149_C70_day7_rep2,SUM149_C70_day7_rep3,SUM149CR_DMSO_day2_rep1,SUM149CR_DMSO_day2_rep2,SUM149CR_DMSO_day2_rep3,SUM149CR_C70_day2_rep1,SUM149CR_C70_day2_rep2,SUM149CR_C70_day2_rep3,SUM149CR_DMSO_day7_rep1,SUM149CR_DMSO_day7_rep2,SUM149CR_DMSO_day7_rep3,SUM149CR_C70_day7_rep1,SUM149CR_C70_day7_rep2,SUM149CR_C70_day7_rep3
CAV2,39.9275,40.7002,35.2298,34.5747,43.4764,36.9786,38.5597,38.2094,41.0936,32.3938,38.7118,48.291,46.2745,39.8295,40.9744,47.4591,40.9166,43.7968,44.4081,40.5252,42.226,39.7262,47.7816
TP53I11,0,0,0,0,0.0716509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MILR1,0.157533,0.0631177,0.159254,0.127001,0.0894416,0,0.0629774,0.0831581,0.253846,0,0.184126,0.0587008,0,0.165522,0,0.233634,0.0903479,0.128415,0,0.158456,0.0636514,0.298421,0.103534
ASCC3,12.2719,13.6123,15.5991,13.5402,13.9166,14.1337,15.8047,13,12.7492,15.5292,12.2096,14.0123,14.5361,14.9061,13.2527,15.5558,17.6982,14.494,16.8661,14.304,13.2773,14.3751,15.4215
NCAPD3,9.36037,10.4592,11.3925,9.9172,10.4386,10.231,10.4621,9.54113,9.63474,10.3692,9.2167,8.72966,10.4256,9.72408,8.70982,10.7159,11.5019,9.32375,10.567,9.55164,9.4824,10.2547,9.70297
SHARPIN,7.55407,8.66751,8.39012,7.58549,11.2892,7.62868,8.04939,9.30339,7.49284,8.31233,7.30235,7.7532,9.03134,8.43367,8.56377,6.12751,7.82526,7.34929,8.83225,7.14008,7.34363,9.42388,8.27189
C4orf27,23.1192,23.3349,20.172,22.5692,15.564,21.5603,21.2506,23.5741,19.6364,18.2279,16.8274,18.9786,20.6325,17.6215,17.8088,20.8807,20.663,20.0714,20.6443,22.3892,16.7468,16.9168,19.3779
SLC23A3,0.224258,0.090947,0.113174,0.0817929,0.172041,0.133596,0.150699,0.120152,0.0637425,0.188429,0.103843,0.101318,0.137276,0.10407,0.139404,0.0611847,0.0292837,0.0961694,0.1491,0.247366,0.0978062,0.0768258,0.0537125
ARSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF182,3.81888,3.22017,4.06673,3.29335,2.90974,4.50347,3.97949,3.44665,3.74572,3.37118,3.29947,3.61348,3.18969,3.44781,3.88943,3.08695,3.29279,4.92899,3.99959,3.74291,3.61994,3.57096,2.46773
KXD1,42.37,45.0648,45.5446,46.0337,41.84,36.9213,43.6476,42.08,35.3228,38.9507,37.3613,41.3072,42.9197,37.6388,40.3384,40.6032,43.7416,39.2896,44.5291,41.3175,42.1917,42.4823,41.6104
PRR24,2.21143,2.69955,3.30421,2.22539,5.77494,1.98774,1.82144,2.81328,2.27431,1.93954,1.07983,2.72391,2.36608,2.58951,3.34978,1.86225,2.51195,1.81212,1.7939,2.28771,2.73995,2.59345,3.34699
M6PR,46.0144,50.9722,43.4205,55.2438,48.1576,46.9866,45.4122,51.2865,52.1002,49.5011,52.0428,49.3617,51.7437,43.7551,50.0688,55.5119,47.9541,45.7854,44.9678,50.6545,50.7939,48.1426,54.1593
NPFFR1,0.00584524,0.0185981,0.0114307,0.0452441,0.0237298,0.00604027,0.021614,0.024517,0.0363996,0.0419774,0.030398,0.00887397,0.0227157,0.00607374,0.0294158,0.0401052,0.0209939,0.0219182,0.00399671,0.0149939,0.0168695,0.00900801,0.0307686
CTBP1,68.4574,74.7349,83.6208,71.0596,87.0227,58.6519,69.0719,69.3855,58.1362,62.3846,56.2379,66.9152,68.6989,73.2466,61.9252,55.5111,65.3023,66.2131,68.3469,63.8959,58.5356,65.067,64.5362
AC135178.1,0.557768,0.268624,0.290471,0.23938,0.151597,0.646571,0.272075,0.354039,0.284439,0.332444,0.531876,0.645288,0.59879,0.42701,0.611583,0.207609,0.321351,0.659832,0.357603,0.704276,0.35038,0.691318,0.16018
ANKRD24,0,0.0189545,0.0219887,0.0306329,0.012961,0.00759553,0.0103351,0.0166559,0.0230396,0.00946134,0.012962,0.0105376,0.00870281,0.0582753,0,0.0118185,0.00731513,0,0.0155254,0.0114677,0.00921606,0.0230252,0.00841803
OXSM,12.1406,10.3843,9.86707,8.1772,8.43333,9.69683,9.59271,10.6487,9.28669,8.34059,10.1894,11.2901,9.53895,8.18148,9.40319,8.47478,8.50323,11.3104,9.52355,9.70751,9.5643,9.05203,10.2603
RSC1A1,3.39015,3.96486,4.40252,5.24453,1.2388,2.35711,5.21176,4.15645,3.70082,6.14125,4.29336,2.98948,3.75493,2.94295,3.47014,4.17047,5.37759,2.01089,4.58381,4.30322,2.70057,3.92122,4.11858
MRGPRF,0.0125078,0.0228043,0.0246235,0.0228561,0.0144904,0.0389851,0.0231233,0.0902288,0.0103542,0.0847571,0.0725812,0.00947095,0,0,0,0.0396865,0.0573406,0,0.0256565,0.0127991,0.0309419,0.0386679,0.0471227
NSMCE1,33.8549,34.5607,41.6807,32.7809,36.9011,35.9028,39.9584,38.3737,30.5833,37.1709,31.9151,40.0799,36.7476,39.2697,33.9086,39.9149,42.2289,38.6456,44.3221,39.1128,35.3587,39.4199,39.4938
