Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
PEAR1,0.0114422,0.0058146,0.0170313,0,0.00509016,0,0.0177123,0.0245636,0,0,0,0.0131013,0.0333761,0,0.0329906,0.018557
NOTCH4,0.177308,0.140518,0.108919,0.085202,0.0979054,0.130846,0.138395,0.0989284,0.123726,0.107368,0.0938912,0.129431,0.170806,0.1771,0.126575,0.136311
GORASP1,6.55285,6.76495,9.27837,5.70737,6.37059,6.52626,7.27481,6.53174,6.62801,6.9495,7.81469,7.25491,7.07392,6.43574,7.06521,7.96241
APOBEC3H,0.0700124,0.0338863,0.29903,0.453709,0.0604967,0.0914226,0.682944,0.19503,0,0.138803,0.432155,0.383353,0,0.258027,0.656996,0.354669
SLC35G5,0,0,0,0,0.0218731,0,0.077036,0,0,0,0.0320408,0.0282785,0,0,0.0285611,0
C1orf141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNOT8,16.8272,18.1887,21.2576,23.1413,15.2341,16.5692,19.9676,20.29,14.8461,14.2181,18.6187,18.1085,14.8084,16.1896,19.7157,19.6008
NFATC1,2.15593,2.67143,2.20061,2.19912,2.33484,2.73047,2.15436,2.07351,2.57263,2.81413,2.04402,1.99519,2.64892,2.55504,2.49155,2.55534
CPB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALM,0.13783,0.130328,0.110661,0.081267,0.122992,0.114517,0.14813,0.106625,0.133044,0.178097,0.110474,0.207475,0.918909,1.04884,1.50987,1.43783
ZNF385D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
